Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Gift Card,Variant Weight Unit,Included / Singapore,Included / Australia,Included / Eurozone,Included / India,Included / International,Included / Japan,Included / United Kingdom,Included / United States,Status
dz-ss16-031,"DZ-SS16/031 Corpse Hunting Rend Cataclysm, Roveena & Zuin [RRR]","<p><strong>Corpse Hunting Rend Cataclysm, Roveena & Zuin</strong></p>
<p>Card Number: DZ-SS16/031</p>
<p>Rarity: RRR</p>
<p>Grade: グレード 2</p>
<p>Nation: ストイケイア</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-SS, DZ-SS16",true,Title,Default Title,,,,,DZ-SS16/031,0.002,shopify,0,deny,manual,,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-SS16/dzss16_031.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-ss16-032,"DZ-SS16/032 Illusory Tunes Nymph, Keishou [RR]","<p><strong>Illusory Tunes Nymph, Keishou</strong></p>
<p>Card Number: DZ-SS16/032</p>
<p>Rarity: RR</p>
<p>Grade: グレード 2</p>
<p>Nation: ドラゴンエンパイア</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-SS, DZ-SS16",true,Title,Default Title,,,,,DZ-SS16/032,0.002,shopify,0,deny,manual,,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-SS16/dzss16_032.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-ss16-033,"DZ-SS16/033 Stealth Dragon, Souzan [RR]","<p><strong>Stealth Dragon, Souzan</strong></p>
<p>Card Number: DZ-SS16/033</p>
<p>Rarity: RR</p>
<p>Grade: グレード 1</p>
<p>Nation: ドラゴンエンパイア</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-SS, DZ-SS16",true,Title,Default Title,,,,,DZ-SS16/033,0.002,shopify,0,deny,manual,,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-SS16/dzss16_033.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-ss16-034,"DZ-SS16/034 Stealth Fiend, Futakuchiyo [RR]","<p><strong>Stealth Fiend, Futakuchiyo</strong></p>
<p>Card Number: DZ-SS16/034</p>
<p>Rarity: RR</p>
<p>Grade: グレード 0</p>
<p>Nation: ドラゴンエンパイア</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-SS, DZ-SS16",true,Title,Default Title,,,,,DZ-SS16/034,0.002,shopify,0,deny,manual,,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-SS16/dzss16_034.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-ss16-035,DZ-SS16/035 Festive Trapezist [RR],"<p><strong>Festive Trapezist</strong></p>
<p>Card Number: DZ-SS16/035</p>
<p>Rarity: RR</p>
<p>Grade: グレード 2</p>
<p>Nation: ダークステイツ</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-SS, DZ-SS16",true,Title,Default Title,,,,,DZ-SS16/035,0.002,shopify,0,deny,manual,,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-SS16/dzss16_035.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-ss16-036,"DZ-SS16/036 Adventure Studies Academic, Arius [RR]","<p><strong>Adventure Studies Academic, Arius</strong></p>
<p>Card Number: DZ-SS16/036</p>
<p>Rarity: RR</p>
<p>Grade: グレード 2</p>
<p>Nation: ダークステイツ</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-SS, DZ-SS16",true,Title,Default Title,,,,,DZ-SS16/036,0.002,shopify,0,deny,manual,,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-SS16/dzss16_036.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-ss16-037,"DZ-SS16/037 Shadow Stabbing Demonic Spear Knight, Criminatress [RR]","<p><strong>Shadow Stabbing Demonic Spear Knight, Criminatress</strong></p>
<p>Card Number: DZ-SS16/037</p>
<p>Rarity: RR</p>
<p>Grade: グレード 1</p>
<p>Nation: ダークステイツ</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-SS, DZ-SS16",true,Title,Default Title,,,,,DZ-SS16/037,0.002,shopify,0,deny,manual,,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-SS16/dzss16_037.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-ss16-038,"DZ-SS16/038 Strange Noise of Ruin, Aduro [RR]","<p><strong>Strange Noise of Ruin, Aduro</strong></p>
<p>Card Number: DZ-SS16/038</p>
<p>Rarity: RR</p>
<p>Grade: グレード 0</p>
<p>Nation: ダークステイツ</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-SS, DZ-SS16",true,Title,Default Title,,,,,DZ-SS16/038,0.002,shopify,0,deny,manual,,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-SS16/dzss16_038.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-ss16-039,"DZ-SS16/039 Imaginary Number Dragon, Diraxy [RR]","<p><strong>Imaginary Number Dragon, Diraxy</strong></p>
<p>Card Number: DZ-SS16/039</p>
<p>Rarity: RR</p>
<p>Grade: グレード 2</p>
<p>Nation: ブラントゲート</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-SS, DZ-SS16",true,Title,Default Title,,,,,DZ-SS16/039,0.002,shopify,0,deny,manual,,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-SS16/dzss16_039.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-ss16-040,DZ-SS16/040 Optimizing Mechanic [RR],"<p><strong>Optimizing Mechanic</strong></p>
<p>Card Number: DZ-SS16/040</p>
<p>Rarity: RR</p>
<p>Grade: グレード 1</p>
<p>Nation: ブラントゲート</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-SS, DZ-SS16",true,Title,Default Title,,,,,DZ-SS16/040,0.002,shopify,0,deny,manual,,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-SS16/dzss16_040.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-ss16-041,DZ-SS16/041 エンディアリング・ベンダー メイティーナ [RR],"<p><strong>エンディアリング・ベンダー メイティーナ</strong></p>
<p>Card Number: DZ-SS16/041</p>
<p>Rarity: RR</p>
<p>Grade: グレード 0</p>
<p>Nation: ブラントゲート</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-SS, DZ-SS16",true,Title,Default Title,,,,,DZ-SS16/041,0.002,shopify,0,deny,manual,,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-SS16/dzss16_041.png,1,false,kg,true,true,true,true,true,true,true,true,active
